network,community_id,color_hex,size_nodes,modularity_representatives_top8
private,0,#fbb4ae,9,作 仙 地 靑 雲 中 共 天
private,1,#b3cde3,8,傳 事 畫 相 圖 後 從 新
private,2,#ccebc5,8,老 人 重 朝 爲 古 來 多
private,3,#decbe4,8,心 生 歲 月 期 世 三 自
private,4,#fed9a6,7,遊 會 白 勝 高 山 知
private,5,#ffffcc,6,十 年 同 今 名 樂
private,6,#e5d8bd,6,風 一 流 時 淸 吾
private,7,#fddaec,5,交 情 春 深 秋
private,8,#f2f2f2,5,日 明 分 入 開
private,9,#fbb4ae,4,蘭 金 契 曾
