network,V,E,k_greedy,Q_greedy,k_louvain,Q_louvain,"NMI(greedy,louvain)",use_comm_greedy
개인,76,260,8,0.5171998229096225,9,0.5222158406193469,0.9650637994561685,True
관청,41,33,12,0.8085681515369442,11,0.807647724532343,0.9733450072544038,False
사간원,56,120,3,0.3869088477512687,3,0.3869088477512687,1.0,True
사헌부,46,120,5,0.14693080715066556,5,0.14693080715066542,1.0,False
승정원,63,120,5,0.20567203087065278,9,0.20567203087065278,0.9424992980413349,False
의금부,42,120,4,0.18179910593486245,5,0.1860729796771607,0.9106952627397875,False
